"Title","Epic","User Story","Priority","Story Points","Status","Sprint","Acceptance Criteria","Labels"
"US-027: Als Sicherheitsbeauftragter möchte ich Feedback grafisch auswerten, damit häufige Probleme erkannt werden.","Epic 8: Feedback und Umfragen","Als Sicherheitsbeauftragter möchte ich Feedback grafisch auswerten, damit häufige Probleme erkannt werden.","Should","8","Backlog","Sprint 5","Ergebnisse zeigen Häufigkeiten, Durchschnittswerte und CSV-Export.","user-story;priority:should"
"US-028: Als Sicherheitsbeauftragter möchte ich Übungen, Kontrollen und Fristen in einem Kalender verwalten, damit wichtige Termine nicht vergessen werden.","Epic 9: Schulkalender","Als Sicherheitsbeauftragter möchte ich Übungen, Kontrollen und Fristen in einem Kalender verwalten, damit wichtige Termine nicht vergessen werden.","Should","8","Backlog","Sprint 5","Listen-, Wochen- und Monatsansicht zeigen Termine und Fristen.","user-story;priority:should"
"US-029: Als Administrator möchte ich einen Schulkalender über ICS importieren, damit vorhandene Termine übernommen werden.","Epic 9: Schulkalender","Als Administrator möchte ich einen Schulkalender über ICS importieren, damit vorhandene Termine übernommen werden.","Could","5","Backlog","Sprint 5","ICS-Datei wird validiert; importierte Termine sind gekennzeichnet.","user-story;priority:could"
"US-030: Als Benutzer möchte ich Sicherheitstermine als ICS exportieren, damit sie in anderen Kalenderprogrammen erscheinen.","Epic 9: Schulkalender","Als Benutzer möchte ich Sicherheitstermine als ICS exportieren, damit sie in anderen Kalenderprogrammen erscheinen.","Could","3","Backlog","Sprint 5","Export enthält UID, Datum, Titel, Ort und Beschreibung.","user-story;priority:could"
"US-031: Als Administrator möchte ich die Loginadresse unserer Schule eintragen, damit die spätere Anbindung schulabhängig konfiguriert werden kann.","Epic 10: Schule-Infoportal","Als Administrator möchte ich die Loginadresse unserer Schule eintragen, damit die spätere Anbindung schulabhängig konfiguriert werden kann.","Must","3","Done","Sprint 6","Kennung und vollständige URL werden akzeptiert; URL wird normalisiert.","user-story;priority:must;infoportal"
"US-032: Als Administrator möchte ich die Verbindung zum Infoportal testen, damit Konfigurationsfehler erkannt werden.","Epic 10: Schule-Infoportal","Als Administrator möchte ich die Verbindung zum Infoportal testen, damit Konfigurationsfehler erkannt werden.","Should","5","Backlog","Sprint 6","Test nutzt nur dokumentierte Provider; Ergebnis zeigt Provider, Zeitpunkt und Meldung.","user-story;priority:should;infoportal"
"US-033: Als Administrator möchte ich berechtigt verfügbare Schüler-, Klassen- und Lehrerdaten übernehmen, damit keine doppelte Datenpflege nötig ist.","Epic 10: Schule-Infoportal","Als Administrator möchte ich berechtigt verfügbare Schüler-, Klassen- und Lehrerdaten übernehmen, damit keine doppelte Datenpflege nötig ist.","Should","13","Backlog","Sprint 6","Adapter ruft nur freigegebene Daten ab; keine Zugangsdaten im Frontend oder Log.","user-story;priority:should;infoportal"
"US-034: Als Sicherheitsbeauftragter möchte ich aktuelle Absenzen übernehmen, damit abwesende Personen bei einer Übung nicht fälschlich als vermisst gelten.","Epic 10: Schule-Infoportal","Als Sicherheitsbeauftragter möchte ich aktuelle Absenzen übernehmen, damit abwesende Personen bei einer Übung nicht fälschlich als vermisst gelten.","Must","8","Backlog","Sprint 6","Absenzen werden mit Quelle und Synchronisationszeitpunkt im Snapshot berücksichtigt.","user-story;priority:must;infoportal"
"US-035: Als Administrator möchte ich Portal-Daten alternativ per CSV oder Excel importieren, damit das System auch ohne offizielle Schnittstelle funktioniert.","Epic 10: Schule-Infoportal","Als Administrator möchte ich Portal-Daten alternativ per CSV oder Excel importieren, damit das System auch ohne offizielle Schnittstelle funktioniert.","Must","5","Ready","Sprint 6","Import bleibt vollständig nutzbar, wenn keine offizielle Schnittstelle verfügbar ist.","user-story;priority:must;infoportal"
"US-036: Als Administrator möchte ich sicherheitsrelevante Aktionen nachvollziehen, damit Datenzugriffe überprüfbar sind.","Epic 11: Datenschutz und Betrieb","Als Administrator möchte ich sicherheitsrelevante Aktionen nachvollziehen, damit Datenzugriffe überprüfbar sind.","Must","5","Done","Sprint 7","Audit-Log enthält Zeit, Benutzer, Aktion, Entität und Details; Zugriff ist berechtigt.","user-story;priority:must;privacy"
"US-037: Als Administrator möchte ich Löschfristen festlegen, damit personenbezogene Daten nicht unbegrenzt gespeichert werden.","Epic 11: Datenschutz und Betrieb","Als Administrator möchte ich Löschfristen festlegen, damit personenbezogene Daten nicht unbegrenzt gespeichert werden.","Must","8","Backlog","Sprint 7","Fristen pro Datentyp sind konfigurierbar; Löschlauf protokolliert Ergebnisse.","user-story;priority:must;privacy"
"US-038: Als Administrator möchte ich Daten sichern und wiederherstellen, damit das System nach einem Ausfall weiterbetrieben werden kann.","Epic 11: Datenschutz und Betrieb","Als Administrator möchte ich Daten sichern und wiederherstellen, damit das System nach einem Ausfall weiterbetrieben werden kann.","Must","8","Backlog","Sprint 7","Backup wird verschlüsselt erstellt; Restore wird in Test geprüft.","user-story;priority:must;privacy"
"US-039: Als Lehrkraft möchte ich vorbereitete Anwesenheitsdaten auch bei schlechter Verbindung verwenden, damit eine Übung nicht am WLAN-Ausfall scheitert.","Epic 11: Datenschutz und Betrieb","Als Lehrkraft möchte ich vorbereitete Anwesenheitsdaten auch bei schlechter Verbindung verwenden, damit eine Übung nicht am WLAN-Ausfall scheitert.","Must","8","Done","Sprint 7","Offline-Daten sind lokal verfügbar, synchronisieren dedupliziert und werden kontrolliert gelöscht.","user-story;priority:must;privacy"
